,Time,Topic,Message,Color
22,17 10 2019 19:34:55 986966214 17 10 2019 19:34:55 986966214,/move_base/global_costmap/costmap,/move_base/global_costmap/costmap,"color_(250, 36, 192)"
23,17 10 2019 19:34:56 206926828 17 10 2019 19:34:56 206926828,/arm_cam3d/depth_registered/points,/arm_cam3d/depth_registered/points,"color_(235, 21, 177)"
24,17 10 2019 19:34:56 455073451 17 10 2019 19:35:00 412852525,/arm_cam3d/rgb/image_raw/compressed,/arm_cam3d/rgb/image_raw/compressed,"color_(65, 107, 7)"
25,17 10 2019 19:34:55 987796786 17 10 2019 19:35:00 416660440,/arm_cam3d/rgb/image_rect_color,/arm_cam3d/rgb/image_rect_color,"color_(13, 55, 211)"
26,17 10 2019 19:34:55 985473271 17 10 2019 19:35:21 861065534,/mcr_navigation/laser_distances/distances,/mcr_navigation/laser_distances/distances,"color_(238, 24, 180)"
27,17 10 2019 19:34:56 113710758 17 10 2019 19:35:00 155259977,/arm_cam3d/infra2/image_rect_raw,/arm_cam3d/infra2/image_rect_raw,"color_(80, 122, 22)"
28,17 10 2019 19:34:56 134933167 17 10 2019 19:35:00 175521085,/arm_cam3d/infra1/image_rect_raw,/arm_cam3d/infra1/image_rect_raw,"color_(82, 124, 24)"
29,17 10 2019 19:34:55 986018686 17 10 2019 19:34:55 987037696,/arm_cam3d/aligned_depth_to_rgb/image_raw/theora,/arm_cam3d/aligned_depth_to_rgb/image_raw/theora,"color_(232, 18, 174)"
30,17 10 2019 19:34:56 449641990 17 10 2019 19:34:59 592410000,/arm_cam3d/aligned_depth_to_infra1/image_raw/compressedDepth,/arm_cam3d/aligned_depth_to_infra1/image_raw/compressedDepth,"color_(37, 79, 235)"
31,17 10 2019 19:34:55 985300421 17 10 2019 19:35:17 154324341,/move_base/local_costmap/costmap,/move_base/local_costmap/costmap,"color_(134, 176, 76)"
